,Compound Score,Handle,Negativity Score,Neutrality Score,Positivity Score,Timestamp,Tweets Ago
0,-0.4019,@BBC,0.231,0.769,0.0,2017-12-11 20:00:06,-1.0
1,0.0,@BBC,0.0,1.0,0.0,2017-12-11 19:30:11,-2.0
2,0.4939,@BBC,0.0,0.849,0.151,2017-12-11 19:00:03,-3.0
3,-0.5574,@BBC,0.135,0.865,0.0,2017-12-11 18:30:06,-4.0
4,0.0,@BBC,0.0,1.0,0.0,2017-12-11 18:00:10,-5.0
5,0.34,@BBC,0.0,0.888,0.112,2017-12-11 17:35:53,-6.0
6,0.4939,@BBC,0.0,0.814,0.186,2017-12-11 17:30:01,-7.0
7,0.128,@BBC,0.0,0.933,0.067,2017-12-11 17:21:48,-8.0
8,-0.5574,@BBC,0.146,0.854,0.0,2017-12-11 17:03:13,-9.0
9,0.0,@BBC,0.0,1.0,0.0,2017-12-11 17:03:04,-10.0
10,0.0,@BBC,0.0,1.0,0.0,2017-12-11 16:58:38,-11.0
11,0.0,@BBC,0.0,1.0,0.0,2017-12-11 16:57:18,-12.0
12,0.4199,@BBC,0.0,0.872,0.128,2017-12-11 16:43:25,-13.0
13,0.4588,@BBC,0.0,0.85,0.15,2017-12-11 16:14:33,-14.0
14,0.0,@BBC,0.0,1.0,0.0,2017-12-11 16:08:53,-15.0
15,0.7177,@BBC,0.0,0.667,0.333,2017-12-11 16:00:02,-16.0
16,0.0,@BBC,0.0,1.0,0.0,2017-12-11 15:54:56,-17.0
17,-0.296,@BBC,0.104,0.896,0.0,2017-12-11 15:30:07,-18.0
18,0.2023,@BBC,0.0,0.887,0.113,2017-12-11 14:56:13,-19.0
19,0.0,@BBC,0.0,1.0,0.0,2017-12-11 14:51:53,-20.0
20,-0.743,@BBC,0.296,0.704,0.0,2017-12-11 14:44:09,-21.0
21,0.0,@BBC,0.0,1.0,0.0,2017-12-11 14:42:36,-22.0
22,-0.4215,@BBC,0.128,0.872,0.0,2017-12-11 14:39:04,-23.0
23,0.0,@BBC,0.0,1.0,0.0,2017-12-11 14:03:05,-24.0
24,0.6124,@BBC,0.064,0.738,0.198,2017-12-11 13:39:41,-25.0
25,0.0,@BBC,0.0,1.0,0.0,2017-12-11 13:30:05,-26.0
26,0.0258,@BBC,0.132,0.696,0.172,2017-12-11 13:00:07,-27.0
27,-0.34,@BBC,0.124,0.876,0.0,2017-12-11 12:45:06,-28.0
28,0.5574,@BBC,0.0,0.805,0.195,2017-12-11 12:30:01,-29.0
29,0.0,@BBC,0.0,1.0,0.0,2017-12-11 11:57:09,-30.0
30,0.5859,@BBC,0.0,0.821,0.179,2017-12-11 11:48:28,-31.0
31,0.0,@BBC,0.0,1.0,0.0,2017-12-11 11:45:31,-32.0
32,0.7783,@BBC,0.0,0.702,0.298,2017-12-11 11:44:28,-33.0
33,0.3182,@BBC,0.0,0.897,0.103,2017-12-11 11:43:51,-34.0
34,-0.2869,@BBC,0.119,0.803,0.078,2017-12-11 11:23:57,-35.0
35,0.0,@BBC,0.0,1.0,0.0,2017-12-11 11:00:11,-36.0
36,0.4926,@BBC,0.0,0.873,0.127,2017-12-11 10:09:23,-37.0
37,-0.4215,@BBC,0.243,0.543,0.214,2017-12-11 09:00:06,-38.0
38,0.0,@BBC,0.0,1.0,0.0,2017-12-11 08:40:04,-39.0
39,0.0,@BBC,0.0,1.0,0.0,2017-12-11 08:20:04,-40.0
40,0.636,@BBC,0.0,0.756,0.244,2017-12-11 08:00:03,-41.0
41,0.2732,@BBC,0.0,0.9,0.1,2017-12-11 07:38:04,-42.0
42,0.6915,@BBC,0.0,0.56,0.44,2017-12-10 21:34:02,-43.0
43,0.0,@BBC,0.0,1.0,0.0,2017-12-10 21:02:27,-44.0
44,0.4391,@BBC,0.0,0.855,0.145,2017-12-10 21:00:06,-45.0
45,-0.3818,@BBC,0.126,0.874,0.0,2017-12-10 20:58:15,-46.0
46,0.0,@BBC,0.0,1.0,0.0,2017-12-10 20:57:07,-47.0
47,0.0,@BBC,0.0,1.0,0.0,2017-12-10 20:49:42,-48.0
48,0.0,@BBC,0.0,1.0,0.0,2017-12-10 20:45:04,-49.0
49,-0.5574,@BBC,0.231,0.769,0.0,2017-12-10 20:43:59,-50.0
50,-0.836,@BBC,0.283,0.717,0.0,2017-12-10 20:43:18,-51.0
51,0.0,@BBC,0.0,1.0,0.0,2017-12-10 20:24:26,-52.0
52,0.4019,@BBC,0.0,0.87,0.13,2017-12-10 20:24:19,-53.0
53,0.9169,@BBC,0.0,0.482,0.518,2017-12-10 20:20:04,-54.0
54,0.0,@BBC,0.0,1.0,0.0,2017-12-10 20:14:12,-55.0
